"No.","Time","Source","Destination","Protocol","Length","Info"
"118","28.188888246","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TLSv1.3","416","Application Data"
"119","28.188918308","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","86","57560  >  443 [ACK] Seq=1663 Ack=3862 Win=64256 Len=0 TSval=3276253825 TSecr=4006136735"
"120","28.188982504","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TLSv1.3","1271","Application Data"
"121","28.189005169","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","86","57560  >  443 [ACK] Seq=1663 Ack=5047 Win=64256 Len=0 TSval=3276253826 TSecr=4006136735"
"122","28.188983495","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TLSv1.3","125","Application Data"
"123","28.189013311","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TCP","86","57560  >  443 [ACK] Seq=1663 Ack=5086 Win=64256 Len=0 TSval=3276253826 TSecr=4006136735"
"124","28.190277620","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TLSv1.3","117","Application Data"
"125","28.190311653","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","2404:6800:4009:814::200a","TLSv1.3","125","Application Data"
"126","28.252494068","2404:6800:4009:814::200a","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","TCP","86","443  >  57560 [ACK] Seq=5086 Ack=1733 Win=68608 Len=0 TSval=4006136809 TSecr=3276253827"
"127","33.239547026","fe80::f4fc:11ff:fe5b:4731","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","ICMPv6","86","Neighbor Solicitation for 2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed from f6:fc:11:5b:47:31"
"128","33.239652999","2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed","fe80::f4fc:11ff:fe5b:4731","ICMPv6","78","Neighbor Advertisement 2401:4900:1b1d:d5de:f1c8:19da:e9c9:1aed (sol)"
"129","34.703177629","192.168.42.252","192.168.42.129","DNS","89","Standard query 0xdde3 AAAA connectivity-check.ubuntu.com"
"130","34.704070039","192.168.42.129","192.168.42.252","DNS","89","Standard query response 0xdde3 AAAA connectivity-check.ubuntu.com"
